bypass_id,file,evidence_anchor,current_path,classification,priority,target_product_path,next_pack,real_damage_if_misclassified,notes
BYPASS-BROWSER-003,sentinel-control/services/sentinel-core/sentinel/organs/browser/controlled_runner.py,lines 233/318/388/488/552/592/620/647/682 execute specialized browser executors,controlled runner direct executor matrix,BYPASS_KEEP_INTERNAL,P2,browser skill backend internal compatibility layer,POWER_UNIFICATION_PACK_4_BROWSER_L5_L6_PRODUCT_BACKEND_V1,product proof fragmentation if treated as primary route,Keep for backend tests/compat; not model-facing product route
BYPASS-CLI-001,sentinel-control/services/sentinel-core/sentinel/cli.py,lines 1304 and 1393 direct BrowserFormSubmit/BrowserLogin organ execute,CLI invokes special browser organs directly,BYPASS_LOCK_HIGH_RISK,P0,CLI should call RuntimeHost/ProductActionKernel or remain explicit admin harness,POWER_UNIFICATION_PACK_1_DIRECT_BYPASS_ELIMINATION_V1,login/form submit outside product replay if exposed casually,Audit CLI commands before promoting any as user product path
BYPASS-SKILLFABRIC-001,sentinel-control/services/sentinel-core/sentinel/operator/skill_fabric.py,manifest/runtime connection lists GovernedSkillFabricRuntime as C4 isolated surface,GovernedSkillFabric isolated skill runtime,BYPASS_PRODUCT_WIRE,P1,skill-only model surface backed by ProductActionKernel route,POWER_UNIFICATION_PACK_2_SKILL_ONLY_MODEL_SURFACE_V1,parallel skill execution outside product receipts,Keep data-only until ProductActionKernel owns execution
BYPASS-POWERRUNTIME-001,sentinel-control/services/sentinel-core/sentinel/operator/power_bridge.py,OperatorPowerRuntimeBridge wraps SentinelPowerRuntimeV0 actuator plan,OperatorPowerRuntimeBridge -> PowerRuntime actuators,BYPASS_WRAP_THROUGH_DISPATCHER,P1,RuntimeHost product spine as mission commander with PowerRuntime as backend,POWER_UNIFICATION_PACK_3_AGENT_WORKSPACE_RUNTIME_V1,actuator effects outside product action receipts if promoted directly,Bridge is valuable; product spine must own entry and proof export
BYPASS-POWER-001,sentinel-control/services/sentinel-core/sentinel/power/runtime.py,lines 280-442 SentinelPowerRuntimeV0 calls injected actuator_executor,PowerRuntime direct actuator executor,BYPASS_KEEP_INTERNAL,P2,internal worker/actuator backend under product mission workspace,POWER_UNIFICATION_PACK_5_MULTI_WORKER_LONG_TASK_ORCHESTRATION_V1,unbounded actuator execution if made model-facing,Keep hidden below mission workspace and worker authority
BYPASS-MISSIONRUNNER-001,sentinel-control/services/sentinel-core/sentinel/mission/runner.py,line 207 executor.execute on routed action,legacy mission runner safe executor path,BYPASS_DEPRECATE,P2,RuntimeHost/ProductActionKernel product loop,POWER_UNIFICATION_PACK_1_DIRECT_BYPASS_ELIMINATION_V1,dual mission semantics and receipt divergence,Keep only compatibility/test if not production path
BYPASS-EXTERNALAPI-001,sentinel-control/services/sentinel-core/sentinel/agent/organs/external_api_read_write_organ_v1.py,lines 246/335 organ.execute with contract,ExternalAPIOrganV1 direct read/write organ,BYPASS_LOCK_HIGH_RISK,P0,future external_api skill with dry-run first and explicit credential lease,POWER_UNIFICATION_PACK_2_SKILL_ONLY_MODEL_SURFACE_V1,external mutation or credential misuse,Keep locked; no product dispatch until authority/lease/replay complete
BYPASS-SPEND-001,sentinel-control/services/sentinel-core/sentinel/organs/spend/runtime.py,SpendRuntime execute methods,spend organ direct runtime,BYPASS_LOCK_HIGH_RISK,P0,future special-authority financial skill only,POWER_UNIFICATION_PACK_6_SIGNED_MISSION_ARTIFACTS_AND_REPLAY_VERIFIER_V1,payment/spend real damage,Keep hard-stopped
BYPASS-WORKER-001,sentinel-control/services/sentinel-core/sentinel/operator/worker_fleet.py,worker fleet exists as separate runtime family,WorkerFleet runtime separate from product mission commander,BYPASS_PRODUCT_WIRE,P1,Product mission workspace -> reduced-authority child worker loops,POWER_UNIFICATION_PACK_5_MULTI_WORKER_LONG_TASK_ORCHESTRATION_V1,scope expansion if child authority inheritance is bypassed,Wire after mission workspace is first-class
BYPASS-MEMORY-001,sentinel-control/services/sentinel-core/sentinel/memory/store.py,durable memory store is independent data plane,Memory store direct persistence,BYPASS_KEEP_INTERNAL,P2,remember skill with data-not-authority receipts and replay refs,POWER_UNIFICATION_PACK_3_AGENT_WORKSPACE_RUNTIME_V1,memory becoming authority or leaking secrets if made raw model surface,Keep data-only; product skill should mediate writes
