component,category,source,symbol,production_callers,evidence_present,state_owned,effects_owned,authority_owned,proof_owned,decision,canonical_owner,migration_gate,deletion_gate,tests_affected
real_provider_canonical_decision_client,model_decision_loop,sentinel/cli.py,_RealProviderCanonicalDecisionClient,,True,none,none,none,request metadata only,KEEP,canonical model decision client,move out of CLI into canonical provider protocol module,delete CLI-private duplicate after move,future canonical provider adapter probe
executable_capability_graph,capability_registry,sentinel/operator/canonical_core.py,ExecutableCapabilityGraph,,True,none,route metadata only,required_authority metadata,proof_contract metadata,KEEP,ExecutableCapabilityGraph,make it the only model affordance and capability registration source,delete duplicate registries after parity,test_capability_graph_is_generated_from_executable_routes
workspace_read_capability_graph_builder,capability_registry,sentinel/operator/canonical_core.py,build_workspace_read_capability_graph,,True,none,workspace-only route metadata,workspace_read authority metadata,canonical workspace receipt contract,MIGRATE,ExecutableCapabilityGraph,replace workspace-only builder with whole-organ graph,delete after whole-organ graph owns workspace routes,test_capability_graph_is_generated_from_executable_routes
runtime_connection_registry,capability_registry,sentinel/operator/runtime_connections.py,build_default_runtime_connection_registry,sentinel/operator/connection_manifest_registry.py;sentinel/operator/mission_execution_coordinator.py;sentinel/operator/power_skill_registry.py;sentinel/operator/runtime_host.py,True,connection frame metadata,connection backend references,backend authority metadata,connection proof metadata,MIGRATE,ExecutableCapabilityGraph,consume as backend inventory under one graph,delete independent model-facing registration after parity,future connection graph parity probe
product_action_kernel,effect_dispatch_owner,sentinel/operator/action_kernel.py,ActionKernel,sentinel/cli.py;sentinel/operator/browser_affordance_contracts.py;sentinel/operator/browser_cortex_deterministic_runner.py;sentinel/operator/browser_cortex_search_entity_development.py;sentinel/operator/browser_proof_index.py;sentinel/operator/mission_artifact_bundle.py;sentinel/operator/mission_workspace_runtime.py;sentinel/operator/model_led_product_action_kernel_task_loop.py;sentinel/operator/model_led_task_loop.py;sentinel/operator/mutation_artifact_channel.py;sentinel/operator/power_skill_registry.py;sentinel/operator/presence_observer.py;sentinel/operator/product_model_native_decision_client.py;sentinel/operator/runtime_connections.py;sentinel/operator/runtime_host.py;sentinel/operator/unified_execution_dispatcher.py;sentinel/operator/workspace_readonly_runtime.py;sentinel/organs/__init__.py;sentinel/organs/browser/__init__.py;sentinel/organs/browser/navigation_l6.py;sentinel/organs/desktop/__init__.py;sentinel/organs/desktop/workspace_l6.py;sentinel/organs/vendor_harvest.py,True,none,ActionEnvelope effect execution,MissionAuthorityEnvelope checks,ActionResult receipt refs,KEEP,ProductActionKernel,"keep as governed effect executor only, no cognition loop",none,test_power_cleanup_pack9_product_actionkernel_task_loop.py
unified_execution_dispatcher,effect_dispatch_owner,sentinel/operator/unified_execution_dispatcher.py,UnifiedExecutionDispatcher,sentinel/operator/model_led_product_action_kernel_task_loop.py;sentinel/operator/runtime_host.py,True,dispatch adapter state,multi-adapter product dispatch,adapter preflight,ProductActionKernelReceipt,MIGRATE,ProductActionKernel,fold useful route dispatch into ProductActionKernel or backend adapters,delete dispatcher facade after parity,future dispatcher absence-of-bypass probe
root_runtime_workspace_effect_executor,effect_dispatch_owner,sentinel/operator/canonical_core.py,_execute,sentinel/agent/action_engine.py;sentinel/agent/audit.py;sentinel/agent/browser/neural/gauntlet.py;sentinel/agent/browser/neural/models.py;sentinel/agent/browser/neural/motor_proposal.py;sentinel/agent/browser/neural/squad.py;sentinel/agent/browser/peer_benchmark.py;sentinel/agent/browser/v3_measured_supremacy.py;sentinel/agent/context_builder.py;sentinel/agent/controlled_capability.py;sentinel/agent/epistemic_action.py;sentinel/agent/final_gate.py;sentinel/agent/llm/proposals.py;sentinel/agent/model_execution/catalog.py;sentinel/agent/models.py;sentinel/agent/organs/browser_account_creation_special_authority_l7.py;sentinel/agent/organs/browser_controlled_extension_webmcp_bridge_l7.py;sentinel/agent/organs/browser_devtools_input_parity_l5_l6.py;sentinel/agent/organs/browser_download_upload_quarantine_l6.py;sentinel/agent/organs/browser_js_sandbox_special_authority_l6.py;sentinel/agent/organs/browser_multi_step_task_orchestrator_v1.py;sentinel/agent/organs/browser_payment_spend_special_authority_l7.py;sentinel/agent/organs/browser_preparation_organ_v1.py;sentinel/agent/organs/browser_readonly_organ_v1.py;sentinel/agent/organs/browser_semantic_extraction_organ_v1.py;sentinel/agent/organs/browser_session_manager_l5_live.py;sentinel/agent/organs/browser_trajectory_planner_l5.py;sentinel/agent/organs/delegated_action_gate.py;sentinel/agent/organs/local_artifact_executor.py;sentinel/agent/organs/low_risk_finalgate.py;sentinel/agent/organs/organ_dispatch.py;sentinel/agent/organs/organ_request_factory.py;sentinel/agent/organs/organ_spec_registry.py;sentinel/agent/organs/proposal_bridge.py;sentinel/agent/organs/reversible_workspace_executor.py;sentinel/agent/organs/runtime_execution.py;sentinel/agent/replay.py;sentinel/agent/runtime.py;sentinel/capabilities/fixtures/static_catalog.py;sentinel/capabilities/policy.py;sentinel/cli.py;sentinel/mission/exceptions.py;sentinel/mission/posture.py;sentinel/mission/risk.py;sentinel/mission/runner.py;sentinel/mission/trace_timeline.py;sentinel/operator/account_authority.py;sentinel/operator/account_authority_models.py;sentinel/operator/action_failure_policy.py;sentinel/operator/action_kernel.py;sentinel/operator/action_power_contract.py;sentinel/operator/actionability_registry.py;sentinel/operator/agent_bridge.py;sentinel/operator/authority_issuer.py;sentinel/operator/browser_affordance_contracts.py;sentinel/operator/browser_backend_selector.py;sentinel/operator/browser_control_models.py;sentinel/operator/browser_cortex_divergence_harness.py;sentinel/operator/browser_environment_state.py;sentinel/operator/browser_model_native_control_loop.py;sentinel/operator/browser_observation_bundle.py;sentinel/operator/browser_product_cutover_registry.py;sentinel/operator/browser_progress_guard.py;sentinel/operator/browser_proof_index.py;sentinel/operator/browser_proof_integrity.py;sentinel/operator/browser_search_parameter_boundary.py;sentinel/operator/channel_adapter_models.py;sentinel/operator/code_execution_sandbox_models.py;sentinel/operator/connection_identity_models.py;sentinel/operator/connection_inbound_models.py;sentinel/operator/connection_inbound_registry.py;sentinel/operator/connection_live_channel_action_models.py;sentinel/operator/connection_live_channel_action_runtime.py;sentinel/operator/connection_manifest_models.py;sentinel/operator/connection_manifest_registry.py;sentinel/operator/credential_vault_models.py;sentinel/operator/daemon_models.py;sentinel/operator/desktop_sidecar_models.py;sentinel/operator/financial_authority.py;sentinel/operator/financial_authority_models.py;sentinel/operator/harness_models.py;sentinel/operator/live_desktop_backend_models.py;sentinel/operator/live_run_evidence_sink.py;sentinel/operator/llm_frame.py;sentinel/operator/mission_artifact_bundle.py;sentinel/operator/mission_execution_coordinator.py;sentinel/operator/mission_lifecycle_service.py;sentinel/operator/mission_workspace_runtime.py;sentinel/operator/model_client.py;sentinel/operator/model_decision_extractor.py;sentinel/operator/model_led_product_action_kernel_task_loop.py;sentinel/operator/model_led_task_loop.py;sentinel/operator/model_router_models.py;sentinel/operator/model_skill_surface.py;sentinel/operator/models.py;sentinel/operator/mutation_artifact_channel.py;sentinel/operator/power_skill_registry.py;sentinel/operator/presence_observer.py;sentinel/operator/presence_observer_cli.py;sentinel/operator/product_execution_binding.py;sentinel/operator/product_model_native_decision_client.py;sentinel/operator/prompt_renderer.py;sentinel/operator/read_only_model_clients.py;sentinel/operator/read_only_operator_spine.py;sentinel/operator/real_browser_control_models.py;sentinel/operator/real_browser_control_runtime.py;sentinel/operator/real_model_certification.py;sentinel/operator/replay.py;sentinel/operator/runtime_connections.py;sentinel/operator/runtime_host.py;sentinel/operator/safety.py;sentinel/operator/scheduler.py;sentinel/operator/skill_decision_frame.py;sentinel/operator/skill_models.py;sentinel/operator/unified_execution_dispatcher.py;sentinel/operator/voice_models.py;sentinel/operator/worker_models.py;sentinel/operator/worker_orchestration_runtime.py;sentinel/operator/workflow_models.py;sentinel/operator/workflow_runtime.py;sentinel/operator/workspace_patch_models.py;sentinel/operator/workspace_readonly_runtime.py;sentinel/organs/__init__.py;sentinel/organs/browser/controlled_runner.py;sentinel/organs/browser/final_gate.py;sentinel/organs/browser/form_submit.py;sentinel/organs/browser/interaction_execution.py;sentinel/organs/browser/multitab_operator.py;sentinel/organs/browser/playwright_interaction_backend.py;sentinel/organs/browser/upload_authorized.py;sentinel/organs/browser/v3_advanced_authorities.py;sentinel/organs/credentials/credential_ref.py;sentinel/organs/credentials/foundation.py;sentinel/organs/lanes.py;sentinel/organs/real_world_gauntlet.py;sentinel/power/runtime.py;sentinel/power_lab.py;sentinel/shared/enums.py;sentinel/shared/events.py;sentinel/shared/execution_events.py;sentinel/telemetry/kernel.py;sentinel/telemetry/models.py;sentinel/telemetry/policy.py,True,CanonicalState observations,direct workspace list/read/search,canonical graph required_authority,CanonicalEffectReceipt,MIGRATE,ProductActionKernel,replace direct effect execution with ProductActionKernel route,delete after canonical route has no direct effect executor,test_product_vertical_slice_persists_mission_record_receipts_proof_and_terminal_state
mission_lifecycle_service,authority_enforcement_point,sentinel/operator/mission_lifecycle_service.py,MissionLifecycleService,sentinel/cli.py;sentinel/operator/cockpit.py;sentinel/operator/runtime_host.py;sentinel/operator/unified_execution_dispatcher.py,True,child MissionRecord creation/loading,dispatch request setup,MissionAuthorityEnvelope handling,mission store events,KEEP,AuthorityKernel facade,narrow to mission lifecycle; move authority decisions to AuthorityKernel,none,future AuthorityKernel parity probe
product_kernel_dispatch_adapter,authority_enforcement_point,sentinel/operator/unified_execution_dispatcher.py,ProductActionKernelDispatchAdapter,sentinel/cli.py;sentinel/operator/model_led_product_action_kernel_task_loop.py;sentinel/operator/mutation_artifact_channel.py;sentinel/operator/runtime_host.py,True,none,ProductActionKernel dispatch adapter,preflight and authority envelope handoff,ProductActionKernelReceipt,MIGRATE,AuthorityKernel plus ProductActionKernel,split authority check from effect execution,delete adapter after ProductActionKernel consumes canonical route directly,future authority/effect split probe
assert_data_not_authority,authority_enforcement_point,sentinel/operator/safety.py,assert_data_not_authority,sentinel/operator/account_authority_models.py;sentinel/operator/action_failure_policy.py;sentinel/operator/action_kernel.py;sentinel/operator/actionability_registry.py;sentinel/operator/authority_issuer.py;sentinel/operator/browser_backend_selector.py;sentinel/operator/browser_control_models.py;sentinel/operator/browser_environment_state.py;sentinel/operator/browser_product_cutover_registry.py;sentinel/operator/canonical_core.py;sentinel/operator/channel_adapter_models.py;sentinel/operator/code_execution_sandbox_models.py;sentinel/operator/connection_identity_models.py;sentinel/operator/connection_inbound_models.py;sentinel/operator/connection_live_channel_action_models.py;sentinel/operator/connection_manifest_models.py;sentinel/operator/credential_vault_models.py;sentinel/operator/daemon_models.py;sentinel/operator/desktop_sidecar_models.py;sentinel/operator/financial_authority_models.py;sentinel/operator/harness_models.py;sentinel/operator/live_desktop_backend_models.py;sentinel/operator/llm_frame.py;sentinel/operator/mission_artifact_bundle.py;sentinel/operator/mission_execution_coordinator.py;sentinel/operator/mission_lifecycle_service.py;sentinel/operator/mission_workspace_runtime.py;sentinel/operator/model_led_product_action_kernel_task_loop.py;sentinel/operator/model_led_task_loop.py;sentinel/operator/model_router_models.py;sentinel/operator/models.py;sentinel/operator/power_skill_registry.py;sentinel/operator/product_execution_binding.py;sentinel/operator/read_only_operator_spine.py;sentinel/operator/real_browser_control_models.py;sentinel/operator/runtime_connections.py;sentinel/operator/scheduler.py;sentinel/operator/skill_models.py;sentinel/operator/unified_execution_dispatcher.py;sentinel/operator/voice_models.py;sentinel/operator/worker_orchestration_runtime.py;sentinel/operator/workflow_models.py;sentinel/operator/workspace_patch_models.py;sentinel/telemetry/models.py,True,none,none,data cannot self-grant authority,none,KEEP,AuthorityKernel,keep as invariant inside typed authority kernel,none,test_model_payload_cannot_self_grant_authority
mission_kernel_store,receipt_proof_owner,sentinel/operator/kernel.py,MissionKernel,sentinel/cli.py;sentinel/operator/account_authority.py;sentinel/operator/agent_bridge.py;sentinel/operator/agent_event_bridge.py;sentinel/operator/authority_issuer.py;sentinel/operator/browser_control_runtime.py;sentinel/operator/canonical_core.py;sentinel/operator/channel_adapter.py;sentinel/operator/cockpit.py;sentinel/operator/code_execution_sandbox_runtime.py;sentinel/operator/connection_manifest_registry.py;sentinel/operator/credential_vault.py;sentinel/operator/daemon_runtime.py;sentinel/operator/desktop_sidecar.py;sentinel/operator/financial_authority.py;sentinel/operator/harness_runtime.py;sentinel/operator/interactive_exploration_read_only.py;sentinel/operator/live_desktop_backend.py;sentinel/operator/mission_lifecycle_service.py;sentinel/operator/mission_workspace_runtime.py;sentinel/operator/model_led_task_loop.py;sentinel/operator/mutation_artifact_channel.py;sentinel/operator/power_bridge.py;sentinel/operator/read_only_operator_spine.py;sentinel/operator/real_browser_control_runtime.py;sentinel/operator/real_model_certification.py;sentinel/operator/runtime_connections.py;sentinel/operator/runtime_host.py;sentinel/operator/scheduler.py;sentinel/operator/self_exploration_read_only.py;sentinel/operator/skill_fabric.py;sentinel/operator/unified_execution_dispatcher.py;sentinel/operator/voice_runtime.py;sentinel/operator/worker_fleet.py;sentinel/operator/worker_orchestration_runtime.py;sentinel/operator/workflow_runtime.py;sentinel/operator/workspace_patch_runtime.py;sentinel/shared/events.py,True,MissionRecord and event timeline,none,none,receipt refs and timeline verification,KEEP,MissionProofRoot,"MissionProofRoot consumes MissionKernel timeline, not vice versa",none,test_product_receipt_integrity_rejects_deleted_or_modified_receipt_artifact
mission_proof_root,receipt_proof_owner,sentinel/operator/canonical_core.py,MissionProofRoot,,True,none,none,none,canonical proof root,KEEP,MissionProofRoot,add authentic append-only proof in W2,none,test_initial_proof_root_is_explicitly_non_authentic_placeholder
product_task_loop_finalgate,receipt_proof_owner,sentinel/operator/model_led_product_action_kernel_task_loop.py,ProductActionKernelTaskLoopFinalCertificate,,True,none,none,finalization policy,FinalGate certificate,MIGRATE,MissionProofRoot,unify final gate into root proof root,delete duplicate final gate after parity,test_power_cleanup_pack10_product_task_loop_runtimehost_entrypoint.py
workspace_readonly_runtime,duplicate_workspace_backend,sentinel/operator/workspace_readonly_runtime.py,WorkspaceReadOnlyRuntime,sentinel/operator/runtime_connections.py;sentinel/operator/runtime_host.py,True,none,read-only workspace list/read/search,MissionAuthorityEnvelope workspace_read,ActionResult context cards,KEEP,workspace organ/backend adapter,"use as ProductActionKernel backend, not cognition route",none,test_public_product_cli_entrypoint_reaches_runtimehost_product_action_kernel_spine
workspace_patch_runtime,duplicate_workspace_backend,sentinel/operator/workspace_patch_runtime.py,WorkspacePatchRuntime,sentinel/operator/power_skill_registry.py;sentinel/operator/runtime_connections.py;sentinel/operator/runtime_host.py,True,none,workspace mutation/check,MissionAuthorityEnvelope path grants,ActionResult receipt refs,MIGRATE,workspace organ/backend adapter,merge with workspace backend under typed read/write effects,delete duplicate route after parity,future workspace backend merge probe
product_native_prompt_generated_schema,prompt_capability_surface,sentinel/operator/product_model_native_decision_client.py,_model_visible_operation_schemas,,True,none,none,none,request metadata,KEEP,ExecutableCapabilityGraph,schema generated from executable graph only,none,test_public_product_cli_real_provider_mode_uses_product_native_transport
cli_root_allowed_actions_list,hardcoded_prompt_capability_list,sentinel/cli.py,allowed_actions,sentinel/agent/action_engine.py;sentinel/agent/agent_society.py;sentinel/agent/browser/self_hosted_benchmark.py;sentinel/agent/browser/v3_measured_supremacy.py;sentinel/agent/capability_selector.py;sentinel/agent/context_builder.py;sentinel/agent/epistemic_action.py;sentinel/agent/invariants.py;sentinel/agent/llm/context_pack.py;sentinel/agent/llm/tool_intent_compiler.py;sentinel/agent/mission_entropy.py;sentinel/agent/models.py;sentinel/agent/organs/browser_download_upload_quarantine_l6.py;sentinel/agent/organs/browser_form_submit_special_authority_l6.py;sentinel/agent/organs/browser_js_sandbox_special_authority_l6.py;sentinel/agent/organs/browser_login_credential_session_broker_l6.py;sentinel/agent/organs/browser_operator_agent_l4_l5_live.py;sentinel/agent/organs/browser_session_manager_l5_live.py;sentinel/agent/organs/browser_trajectory_planner_l5.py;sentinel/agent/resourcefulness.py;sentinel/agent/runtime.py;sentinel/agent/skill_procedure.py;sentinel/agent/supervisor.py;sentinel/agent/tool_selector.py;sentinel/agent/worker_coordinator.py;sentinel/agent/workspace.py;sentinel/capabilities/fixtures/static_catalog.py;sentinel/capabilities/models.py;sentinel/capabilities/policy.py;sentinel/mission/escalation.py;sentinel/mission/gate_sequence.py;sentinel/mission/models.py;sentinel/mission/scope_checker.py;sentinel/operator/account_authority.py;sentinel/operator/authority_issuer.py;sentinel/operator/browser_action_candidates.py;sentinel/operator/browser_control_runtime.py;sentinel/operator/browser_decision_frame.py;sentinel/operator/browser_search_parameter_boundary.py;sentinel/operator/canonical_core.py;sentinel/operator/channel_adapter.py;sentinel/operator/cockpit.py;sentinel/operator/code_execution_sandbox_runtime.py;sentinel/operator/credential_vault.py;sentinel/operator/decision_context.py;sentinel/operator/desktop_sidecar.py;sentinel/operator/deterministic.py;sentinel/operator/financial_authority.py;sentinel/operator/live_desktop_backend.py;sentinel/operator/llm_frame.py;sentinel/operator/model_led_product_action_kernel_task_loop.py;sentinel/operator/model_led_task_loop.py;sentinel/operator/models.py;sentinel/operator/power_bridge.py;sentinel/operator/read_only_model_clients.py;sentinel/operator/read_only_operator_spine.py;sentinel/operator/real_browser_control_runtime.py;sentinel/operator/real_model_certification.py;sentinel/operator/replan_guard.py;sentinel/operator/runtime_host.py;sentinel/operator/skill_fabric.py;sentinel/operator/structured_output.py;sentinel/operator/unified_execution_dispatcher.py;sentinel/operator/voice_runtime.py;sentinel/operator/worker_fleet.py;sentinel/operator/worker_models.py;sentinel/operator/worker_orchestration_runtime.py;sentinel/operator/workflow_models.py;sentinel/operator/workspace_patch_runtime.py;sentinel/operator/workspace_readonly_runtime.py;sentinel/organs/authority.py;sentinel/organs/browser/contract.py;sentinel/organs/browser/navigation_l6.py;sentinel/organs/browser/power_governor.py;sentinel/organs/channels/contract.py;sentinel/organs/desktop/contract.py;sentinel/organs/external_api/contract.py;sentinel/perf/bench/golden_runners.py;sentinel/perf/caches/context_cache_key.py;sentinel/power_lab.py,True,root MissionRecord metadata,none,descriptive authority summary,none,MIGRATE,ExecutableCapabilityGraph,derive public root allowed_actions from graph,delete hardcoded list after graph projection,future no-hardcoded-capabilities probe
product_local_cloak_fixture,fake_material_success_route,sentinel/operator/runtime_host.py,_ProductLocalCloakBrowserEngine,,True,fixture state,fake browser material actions,none,fixture ActionResult evidence,ARCHIVE_RESEARCH,browser organ test backend,keep test-only and impossible to certify product power,archive after live body parity tests no longer need it,future fake-route-not-product-proof probe
local_channel_transport,fake_material_success_route,sentinel/operator/runtime_host.py,_local_channel_transport,,True,none,fake channel delivery,none,local delivery ref,MIGRATE,channel organ/backend adapter,separate simulated and real transport receipt kinds,delete fake completion from product success path,future channel transport truth probe
