component_id,file_or_tree,symbol_or_surface,responsibility,caller_or_entry,actual_consumer,category,model_visibility,backend_visibility,proof_tier,recommendation,notes
ui_visual_observation,sentinel/organs/browser/ui_observation.py and visual_observation.py,observation builders,UI and visual observation models,organ/browser callers,not product canonical,VALUABLE_DORMANT,hidden sense,hidden perception,EXISTS_IN_SOURCE,RECONNECT,Fuse into BES visual graph
rendered_snapshot,sentinel/organs/browser/rendered_snapshot.py,BrowserRenderedSnapshotAdapter,Rendered snapshot capture,organ/browser callers,not product canonical,VALUABLE_DORMANT,hidden sense,hidden perception,EXISTS_IN_SOURCE,RECONNECT,May require screenshot policy and safe refs
multitab_lifecycle,sentinel/organs/browser/public_lifecycle.py and multitab_operator.py,public lifecycle/multitab,Manage tabs/public lifecycle,organ/browser callers,not product canonical,VALUABLE_DORMANT,hidden backend,session backend,EXISTS_IN_SOURCE,RECONNECT,Product BES currently tab_count fixed simple
advanced_pool,sentinel/organs/browser/advanced_pool.py,BrowserPublicPoolManager,Public browser pool/lease management,organ/browser callers,not product canonical,VALUABLE_DORMANT,hidden backend,session backend,EXISTS_IN_SOURCE,DEFER,May support long horizon after core path stable
semantic_extraction_organ,sentinel/agent/organs/browser_semantic_extraction_organ_v1.py,BrowserSemanticExtractionOrganV1,Read-only semantic extraction receipts,read-only route/tests,organ-local FinalGate,PARTIALLY_CONSUMED,not product surface,advisory extraction,T1_LOCAL_PROVEN,MERGE,Current product has generic extract_evidence separately
browser_readonly_organ,sentinel/agent/organs/browser_readonly_organ_v1.py,BrowserReadOnlyOrgan,Read-only browser evidence route,legacy/read-only path,organ-local receipt/finalgate,LEGACY_COMPATIBILITY,not product primary,read-only backend,T1_LOCAL_PROVEN,HIDE,Read-only gravity should not dominate product browser
download_upload_quarantine,sentinel/agent/organs/browser_download_upload_quarantine_l6_v1.py,BrowserFileQuarantineOrganL6,Quarantine download/upload effects,direct tests/organs,organ-local receipt,SPECIAL_EFFECT_CAPABILITY,locked until grant,special-effect backend,T1_LOCAL_PROVEN,DEFER,Promote through sandbox/quarantine authority later
form_submit,sentinel/organs/browser/form_submit.py,Browser form submission capability,Submit forms under authority,organ/browser callers,not product canonical,SPECIAL_EFFECT_CAPABILITY,locked until grant,special-effect backend,EXISTS_IN_SOURCE,DEFER,Ordinary capability when authority exists
login_session_cookie_js,sentinel/organs/browser/v3_advanced_authorities.py,Private session login cookie JS HAR executors,Special authority browser operations,organ/browser callers,not product canonical,SPECIAL_EFFECT_CAPABILITY,locked until grant,special-effect backend,EXISTS_IN_SOURCE,DEFER,Requires SecretBroker/sandbox/explicit authority
payment_spend,sentinel/agent/organs/browser_payment_spend_special_authority_l7.py,BrowserPaymentSpendOrganL7,Payment/spend special authority,direct tests/organs,organ-local receipt,SPECIAL_EFFECT_CAPABILITY,locked until grant,special-effect backend,T1_LOCAL_PROVEN,DEFER,Hard effect boundary
account_creation,sentinel/agent/organs/browser_account_creation_special_authority_l7.py,BrowserAccountCreationOrganL7,Account creation special authority,direct tests/organs,organ-local receipt,SPECIAL_EFFECT_CAPABILITY,locked until grant,special-effect backend,T1_LOCAL_PROVEN,DEFER,Hard effect boundary
extension_webmcp_bridge,sentinel/agent/organs/browser_controlled_extension_webmcp_bridge_l7.py,BrowserExtensionBridgeOrganL7,Extension/WebMCP execution bridge,direct tests/organs,organ-local receipt,SPECIAL_EFFECT_CAPABILITY,locked until grant,special-effect backend,T1_LOCAL_PROVEN,DEFER,High-risk bridge needs product authority path
browser_receipts_models,sentinel/organs/browser/receipts.py and session receipts,Browser receipt families,Plan/session/interaction receipt models,various browser paths,fragmented proof owners,DUPLICATE_CONTRACT,not model-facing,proof backend,T1_LOCAL_PROVEN,MERGE,Index before moving/deleting
product_replay,sentinel/operator/model_led_product_action_kernel_task_loop.py,ProductActionKernelTaskLoopReplay,Replay no-react verification,RuntimeHost/product loop,mission run store,CANONICAL_PRODUCT_REACHED,not model-facing,proof backend,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Replay no-react proven but browser receipt index incomplete
safe_live_evidence_sink,sentinel/operator/live_run_evidence_sink.py,Crash-safe evidence sink,live runs/product loop,report/evidence artifacts,PARTIALLY_CONSUMED,not model-facing,proof backend,T3_REAL_MODEL_PRODUCT_PROVEN,KEEP,Protects observability but not full answer quality
browser_benchmark_gauntlet,sentinel/agent/organs/browser_benchmark_gauntlet_web_arena_style.py,BrowserBenchmarkGauntletOrgan,Browser benchmark scaffold,direct tests/organs,benchmark receipt,TEST_OR_BENCHMARK_ONLY,not model-facing,evaluation,T1_LOCAL_PROVEN,DEFER,Use for future fair benchmark not product proof
browser_cortex_quality_gate,sentinel/operator/browser_cortex_quality_gate.py,Browser cortex quality gate/corpus,Development/corpus gate,tests and reports,local evaluation,TEST_OR_BENCHMARK_ONLY,not model-facing,evaluation,T1_LOCAL_PROVEN,KEEP,Does not prove live product by itself
agent_lab_harvest_browser,agent-lab/module-harvest/browser,harvested comparator artifacts,Comparator/source harvest for patterns,audit only,not consumed,DECLARED_NOT_CONSUMED,not model-facing,none,EXISTS_IN_SOURCE,DEFER,Use as pattern reference only
