"blocker_id","file","function_or_class","trigger_condition","current_effect","surface_affected","model_visible_or_internal","real_damage_prevented","exact_damage_if_yes","false_positive_risk","power_loss_caused","recommended_decision","priority","test_required"
"BF-PROVIDER-009","sentinel/agent/model_execution/provider_profiles.py","_aliyun_dashscope_endpoint","Endpoint host must be approved DashScope/MaaS HTTPS","Host not allowed","provider endpoint","internal","yes","Credential exfiltration to hostile endpoint","low","Endpoint drift creates config blockers","KEEP_HARD_STOP","P0","Approved endpoint sources hashed; hostile endpoint no-call"
"BF-PROVIDER-010","sentinel/agent/tool_call_protocol.py","parse_tool_call_text","Tool-call text empty/too large/unparseable/conflicting","Tool call rejected","tool protocol","model-visible","partial","Avoids conflicting unsafe tool execution","medium","Parse brittleness blocks otherwise safe tool intent","CONVERT_TO_RECOVERY","P1","Parser miss returns repair frame and maps safe intent; registry policy still enforced"
"BF-READONLY-001","sentinel/operator/read_only_operator_spine.py","ReadOnlyProductionSpineSession","Product route centered around read_only_research","Other powers remain lab/power-loop paths","product dispatcher","architecture","no","","high","Read-only gravity slows browser/channel/code power becoming first-class","MOVE_BELOW_MODEL","P1","Read-only becomes evidence skill under generic model-led skill spine"
"BF-READONLY-002","sentinel/operator/read_only_operator_spine.py","read-only Gate","Path traversal/outside absolute/sensitive read blocked","READ_ACCESS_BLOCKED or gate denial","read-only filesystem","internal/model-visible","yes","Workspace escape/secret file read","low","Correct hard stop if scope is real; false if authority alias mismatch","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Alias normalization before Gate; outside/sensitive still no receipt"
"BF-WORKSPACE-001","sentinel/operator/workspace_patch_runtime.py","WorkspacePatchRuntime._apply_patch","Expected base hash missing/mismatch","Patch hard blocks","workspace patch","internal","yes","Prevents stale/destructive unintended patch","medium","Model cannot recover from stale file view","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Stale hash suggests read_file_segment/refresh; outside/destructive still blocks"
"BF-WORKSPACE-002","sentinel/operator/workspace_patch_runtime.py","WorkspacePatchRuntime._apply_patch","Old text not found","workspace_patch_not_applicable","workspace patch","internal","partial","Avoids blind mutation","medium","Patch mission dies instead of asking model to re-read/adjust","CONVERT_TO_RECOVERY","P1","Not-applicable patch returns recoverable observation with current hash/ref"
"BF-WORKSPACE-003","sentinel/operator/workspace_patch_runtime.py","WorkspacePatchRuntime._run_bounded_check","Shell/check contains network/credential/unsupported command","workspace_patch_shell_blocked or check_not_allowed","bounded check","internal","yes","Prevents shell/network/credential escape","low","Correct if alternate code_exec skill is available","KEEP_HARD_STOP","P0","Forbidden check blocks; allowed profile routes to code_exec skill"
"BF-CODE-001","sentinel/operator/code_execution_sandbox_runtime.py","CodeExecutionSandboxRuntime._run_profile","raw_shell/profile/network/ambient shell args forbidden","code_exec_* hard blocks","code execution","internal","yes","Shell/network/credential escape","low","Model may not know allowed profiles","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Decision frame lists allowed profiles and routes shell intent to bounded code_exec only"
"BF-CODE-002","sentinel/operator/code_execution_sandbox_runtime.py","CodeExecutionSandboxRuntime._run_profile","Profile execution times out or nonzero exit","Receipt created with blocked_reason code_exec_timeout/code_exec_failed","code execution","model-visible proof","partial","Prevents fake success","medium","Failure may not guide next patch/check action","CONVERT_TO_RECOVERY","P1","Failed check receipt feeds next action with stderr hash/summary and no raw secrets"
"BF-CHANNEL-001","sentinel/operator/connection_live_channel_action_runtime.py","ChannelConnectorRuntime.execute_action_envelope","Mission-level channel grant missing","mission_level_channel_grant_required","channel send","internal","yes","External message to ungranted destination","low","Correct hard stop","KEEP_HARD_STOP","P0","Granted destination sends; ungranted destination blocks before transport"
"BF-CHANNEL-002","sentinel/operator/model_led_task_loop.py","_is_channel_finish_required","After delivery, non-finish turn blocks","MODEL_FINISH_REQUIRED_AFTER_CHANNEL_DELIVERY","channel closeout","model-visible","yes","Prevents duplicate/excess sends after delivery","medium","Natural finish phrasing can fail if not mapped","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Natural finish maps; repeated send after delivery blocks/no resend"
"BF-CHANNEL-003","sentinel/operator/connection_live_channel_action_runtime.py","Channel transport replay","Replay could resend if not guarded","No-resend replay contract required","channel replay","internal","yes","Duplicate external message","low","None; this is real damage","KEEP_HARD_STOP","P0","Replay no transport call delta/no duplicate delivery"
"BF-AUTH-001","sentinel/operator/actionability_registry.py","ActionabilityRegistry.build_frame","Capability/action not in mission authority","Action hidden or missing_authority","authority/actionability","model-visible","yes","Ungrant action execution","medium","Alias mismatch hides granted power","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Authority alias matrix exposes granted canonical skill and hides only truly ungranted"
"BF-AUTH-002","sentinel/operator/actionability_registry.py","locked skill descriptors","External API/desktop/voice/account/financial/payment locked","Not model-visible/dispatchable","high-risk surfaces","model-visible","yes","External mutation, desktop escape, recording, account/payment damage","medium","Future power cannot launch without explicit pack","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","Locked by default; explicit future authority unlocks bounded skill only"
"BF-AUTH-003","sentinel/operator/mission_execution_coordinator.py","assert_data_not_authority usage","Data-only records cannot grant authority/can_execute","ValueError/invariant failure","authority model","internal","yes","Model/data granting itself execution authority","low","None for product if separated from execution path","KEEP_HARD_STOP","P0","Manifest/identity/backend frames remain data-not-authority"
"BF-PROOF-001","sentinel/operator/model_led_task_loop.py","_complete and _block","Final certificate written for complete or blocked truth","FinalGate/certificate certifies terminal truth","proof","internal","yes","No fake success if blocked truth retained","medium","Avoidable blocked truth can become product dead-end instead of recovery","MOVE_BELOW_MODEL","P1","FinalGate only after recovery options exhausted or hard boundary reached"
"BF-PROOF-002","sentinel/operator/model_led_task_loop.py","ModelLedTaskLoopReplay","Replay must not re-execute model/tool/material actions","Replay deltas expected zero","replay","internal","yes","Real resend/repatch/reclick/reexecute side effects","low","None; replay purity is core moat","KEEP_HARD_STOP","P0","Replay zero deltas for model/tool/browser/channel/patch/code actions"
"BF-PROOF-003","sentinel/operator/real_browser_control_runtime.py","_world_context_cards","World model and decision frame artifacts persisted","Safe artifacts, but raw DOM/screenshots/cookies must not persist","browser evidence","internal","yes","Cookie/session/raw DOM leakage","medium","Over-redaction can make extraction shallow","KEEP_BUT_REQUIRE_CLEAR_AUTHORITY","P0","No raw DOM/cookies/session/screenshot/provider reasoning; extraction cards still useful"
"BF-ORGAN-001","sentinel/agent/organs/organ_dispatch.py","organ dispatch branch matrix","Known organ mapping through branch-heavy code","Manual branches create dead/duplicate paths","organ dispatch","internal","partial","Avoids unknown organ execution","medium","Dormant organs remain unconnected to product skills","REPLACE_WITH_SKILL_ROUTING","P1","Spec registry resolves known organs; unknown organ blocks honestly"
"BF-ORGAN-002","sentinel/agent/organs/runtime_execution.py","runtime execution branch matrix","Sub-request construction owned by branches","Mismatch between spec/request/runtime","organ runtime","internal","partial","Avoids malformed organ calls","medium","Code complexity causes connection failures and unused power","REPLACE_WITH_SKILL_ROUTING","P1","OrganRequestFactory/spec owns request fields; runtime consumes specs"
"BF-ORGAN-003","sentinel/operator/power_skill_registry.py","PowerSkillBackendBinding","dispatch_enabled or can_execute forbidden in backend frames","Backend frame is descriptive only","skill backend frame","model-visible/internal","yes","Prevents model/backend metadata granting execution","low","Frame may look decorative if not consumed by runtime selector","MOVE_BELOW_MODEL","P1","Backend frame consumed by selector; still cannot grant authority"
"BF-APPROVAL-001","connection/manifest/identity layers","Manifest and identity boundaries","Control-plane maps are visible but non-dispatchable","No execution power","connections","internal","yes","Prevents manifest/credential presence from becoming authority","medium","Can become bureaucracy if not tied to live skills","MOVE_BELOW_MODEL","P2","Manifest/identity data feeds skill availability; no approval theater"
"BF-RAW-001","multiple validators","raw material persistence guards","Raw prompt/provider output/reasoning/DOM/screenshot/cookies/secrets detected","Persistence blocked or scan failure","persistence","internal","yes","Credential/session/raw model leakage","low","Can overblock only if raw string scanner catches benign docs","KEEP_HARD_STOP","P0","Benign policy strings allowed; raw material still fails scan"
