capability,implementation_exists,canonical_owner,product_reachable,model_usable,hidden_backend_usable,live_proof_tier,repeated_proof,known_duplicate_path,known_blocker,competitor_pattern_reference,recommended_disposition
navigate,yes,RealBrowserControlRuntime open/open_result and session manager,partial,partial,yes,T3_REAL_MODEL_PRODUCT_PROVEN,no,public lifecycle/multitab,free navigate within origin not broadly proven,OpenClaw routes/Webwright code action,RECONNECT_EXISTING_POWER
open_follow_result,yes,RealBrowserControlRuntime inspect/open_result,yes,yes,yes,T3_REAL_MODEL_PRODUCT_PROVEN,no,legacy click/link paths,broad follow-link strategy not repeated multi-site proven,Webwright code-as-action,KEEP_AND_PROVE_MULTI_SITE
click_type_scroll_wait,yes,RealBrowserControlRuntime internal primitives,internal only,no,yes,T2_LIVE_BODY_PROVEN,no,BrowserControlRuntime fixture primitives,should stay hidden from model surface,OpenClaw direct tools,KEEP_HIDDEN_REFLEX
dynamic_SPA_interaction,partial,RealBrowserControlRuntime plus DevTools/trajectory organs,partial,limited,yes,NOT_PROVEN,no,trajectory/multistep/devtools,not product-proven on dynamic sites,UI-TARS event stream,BUILD_MISSING_POWER
frames_iframes,partial,BrowserEnvironmentState stub and organs/browser models,no,no,partial,NOT_PROVEN,no,organs/browser frame-related models,BES frame_count currently simple,OpenClaw frame handling,BUILD_MISSING_POWER
Shadow_DOM,partial,DOM/DevTools potential,no,no,partial,NOT_PROVEN,no,DOM snapshot/CDP paths,no canonical Shadow DOM extraction,OpenClaw deep snapshot,BUILD_MISSING_POWER
tabs_windows,partial,public lifecycle/multitab/advanced pool,no,no,yes,NOT_PROVEN,no,multitab_operator/public_lifecycle,product path currently single-context/simple tab state,Jarvis browser sidecar,RECONNECT_EXISTING_POWER
generic_evidence_extraction,yes,RealBrowserControlRuntime extract_evidence,yes,yes,yes,T3_REAL_MODEL_PRODUCT_PROVEN,Python.org vertical,semantic extraction organ,answer claim proof still weak,OpenClaw extraction plus citations,KEEP_AND_INDEX_EVIDENCE
multi_source_evidence_synthesis,partial,product loop grounded_evidence_summary plus agent cortex,no,partial,yes,T1_LOCAL_PROVEN,no,agent/browser cortex/neural,not independently auditable at final answer level,OpenJarvis eval/learning/cost,RECONNECT_EXISTING_POWER
forms,yes,form_submit and special authority paths,no,no,yes,EXISTS_IN_SOURCE,no,organs/browser form_submit and browser_form_submit organ,not product-routed under capability grants,OpenClaw forms,DEFER_SPECIAL_EFFECT_PROMOTION
upload_download,yes,download/upload quarantine organ,no,no,yes,T1_LOCAL_PROVEN,no,download_upload_quarantine,not product-routed through sandbox grant,Jarvis governed sidecar,DEFER_SPECIAL_EFFECT_PROMOTION
login_session_continuity,yes,private session/login/cookie storage/session manager,partial,limited metadata only,yes,T2_LIVE_BODY_PROVEN,no,v3 advanced authority paths,login capability not product-promoted with SecretBroker,Jarvis account/session patterns,DEFER_SPECIAL_EFFECT_PROMOTION
javascript_evaluate_sandbox,yes,JS evaluate sandbox executor,no,no,yes,EXISTS_IN_SOURCE,no,v3 advanced authorities/extension bridge,not product-routed and high-risk without sandbox policy,Webwright code-as-action sandbox,DEFER_SPECIAL_EFFECT_PROMOTION
stale_ref_recovery,yes,RealBrowserControlRuntime local helpers plus recovery organ,partial,yes via failure packet,yes,T2_LIVE_BODY_PROVEN,no,BrowserFailureRecoveryEngineV1,duplicate recovery planner vs runtime reflex,OpenClaw ref cache recovery,UNIFY_DUPLICATED_POWER
crash_session_recovery,yes,RealBrowserControlRuntime readiness/session lifecycle,yes,hidden,yes,T3_REAL_MODEL_PRODUCT_PROVEN,Python.org vertical,session manager local finalgates,multi-site and long horizon not proven,Jarvis sidecar lifecycle,KEEP_AND_PROVE_MULTI_SITE
multi_step_trajectory,yes,BrowserTrajectoryPlannerL5 and MultiStepTaskOrchestratorV1,no,no,yes,T1_LOCAL_PROVEN,no,CLI/demo/test fake backend,not product-routed and could become closed planner,Webwright trajectories,RECONNECT_AS_ADVISORY_REFLEX
long_horizon_research,partial,product loop plus workers and browser organs,partial,yes,partial,NOT_PROVEN,no,multistep/neural/worker paths,no sustained long-horizon browser proof,OpenJarvis eval/learning/cost,BUILD_MISSING_POWER
model_generated_SkillCandidate,partial,vision and sandbox direction,no,no,partial,NOT_PROVEN,no,none canonical for browser,no governed browser skill candidate path yet,Webwright code-as-action,BUILD_MISSING_POWER
answer_grounding,partial,grounded_evidence_summary and reports,partial,yes,yes,T3_REAL_MODEL_PRODUCT_PROVEN,quality gate fail in repeated batch,receipt/finalgate duplicates,claim-to-evidence matrix missing and receipt paths not readable,OpenClaw citations/OpenJarvis eval,RECONNECT_EXISTING_POWER
replay,yes,ProductActionKernelTaskLoopReplay and browser replay proofs,yes,not model-facing,yes,T3_REAL_MODEL_PRODUCT_PROVEN,Python.org repeated replay clean,organ-local replay/receipts,replay cannot yet prove final answer claim matrix,Jarvis audit trail,KEEP_AND_EXTEND_VERIFIER
cleanup,yes,RuntimeHost/resource scope/session manager,yes,not model-facing,yes,T3_REAL_MODEL_PRODUCT_PROVEN,Python.org repeated cleanup clean,session manager close paths,multi-site stress not proven,Jarvis process sidecar cleanup,KEEP_AND_PROVE_MULTI_SITE
multi_site_reliability,partial,calibration reports/corpora,no,model path exists,yes,NOT_PROVEN,no,deterministic corpora and non-holdout calibration,quality and infra gates not yet passed,OpenJarvis benchmarks,PROVE_LIVE_POWER
